id,game_id,name,game_set_slug,publishers,released,release_year,release_month,release_day,expected_item_count,source_notes
58baad1c-678e-4baa-8149-e5a828d4d6a6,3ce1d5c4-7896-4ae0-95f6-144f1b2f6f56,Double Time,android--netrunner_double-time,"[""Renegade Game Studios""]",1,2014,3,28,,"{""set_name_notes"": ""set name per cardgamecollector.com"", ""release_date_notes"": ""release date per cardgamecollector.com""}"
f0486191-2e3f-4074-bda7-2c1f13f0f1bd,3ce1d5c4-7896-4ae0-95f6-144f1b2f6f56,Down the White Nile,android--netrunner_down-the-white-nile,"[""Renegade Game Studios""]",1,2018,2,1,,"{""set_name_notes"": ""set name per cardgamecollector.com"", ""release_date_notes"": ""release date per cardgamecollector.com""}"
6b47723e-53e8-4b37-b093-5df9250a19c4,3ce1d5c4-7896-4ae0-95f6-144f1b2f6f56,Earth's Scion,android--netrunner_earth-s-scion,"[""Renegade Game Studios""]",1,2017,5,25,,"{""set_name_notes"": ""set name per cardgamecollector.com"", ""release_date_notes"": ""release date per cardgamecollector.com""}"
29b92b4d-8d43-472d-b024-51dde019eeb8,3ce1d5c4-7896-4ae0-95f6-144f1b2f6f56,Escalation,android--netrunner_escalation,"[""Renegade Game Studios""]",1,2016,10,1,,"{""set_name_notes"": ""set name per cardgamecollector.com"", ""release_date_notes"": ""release date per cardgamecollector.com""}"
7859f44c-58e4-463f-a53c-a53aef244d29,3ce1d5c4-7896-4ae0-95f6-144f1b2f6f56,Fear and Loathing,android--netrunner_fear-and-loathing,"[""Renegade Game Studios""]",1,2014,2,21,,"{""set_name_notes"": ""set name per cardgamecollector.com"", ""release_date_notes"": ""release date per cardgamecollector.com""}"
f97d1114-8135-414e-ae48-d50c102dd283,3ce1d5c4-7896-4ae0-95f6-144f1b2f6f56,Fear the Masses,android--netrunner_fear-the-masses,"[""Renegade Game Studios""]",1,2016,6,16,,"{""set_name_notes"": ""set name per cardgamecollector.com"", ""release_date_notes"": ""release date per cardgamecollector.com""}"
dbb18b95-b9ea-456c-b57d-30a8af566fdf,3ce1d5c4-7896-4ae0-95f6-144f1b2f6f56,First Contact,android--netrunner_first-contact,"[""Renegade Game Studios""]",1,2014,9,15,,"{""set_name_notes"": ""set name per cardgamecollector.com"", ""release_date_notes"": ""release date per cardgamecollector.com""}"
8e4c46b7-c71f-4592-a3a6-ef414d0e08af,3ce1d5c4-7896-4ae0-95f6-144f1b2f6f56,Free Mars,android--netrunner_free-mars,"[""Renegade Game Studios""]",1,2017,7,20,,"{""set_name_notes"": ""set name per cardgamecollector.com"", ""release_date_notes"": ""release date per cardgamecollector.com""}"
d4dd0c63-0936-4b46-a8d8-f495795d414b,3ce1d5c4-7896-4ae0-95f6-144f1b2f6f56,Future Proof,android--netrunner_future-proof,"[""Renegade Game Studios""]",1,2013,5,31,,"{""set_name_notes"": ""set name per cardgamecollector.com"", ""release_date_notes"": ""release date per cardgamecollector.com""}"
7a3e2fa1-134e-4a52-a892-cfc29a3579a3,3ce1d5c4-7896-4ae0-95f6-144f1b2f6f56,Honor and Profit,android--netrunner_honor-and-profit,"[""Renegade Game Studios""]",1,2014,4,1,,"{""set_name_notes"": ""set name per cardgamecollector.com"", ""release_date_notes"": ""release date per cardgamecollector.com""}"
f9b0bd38-d2f6-44df-ba26-9a971be9787a,3ce1d5c4-7896-4ae0-95f6-144f1b2f6f56,Humanity's Shadow,android--netrunner_humanity-s-shadow,"[""Renegade Game Studios""]",1,2013,5,2,,"{""set_name_notes"": ""set name per cardgamecollector.com"", ""release_date_notes"": ""release date per cardgamecollector.com""}"
fc70ccda-998a-4800-af85-493ccda4fef2,3ce1d5c4-7896-4ae0-95f6-144f1b2f6f56,Intervention,android--netrunner_intervention,"[""Renegade Game Studios""]",1,2016,11,1,,"{""set_name_notes"": ""set name per cardgamecollector.com"", ""release_date_notes"": ""release date per cardgamecollector.com""}"
ad7c087e-8381-4f7e-a8e5-9910c7df0814,3ce1d5c4-7896-4ae0-95f6-144f1b2f6f56,Kala Ghoda,android--netrunner_kala-ghoda,"[""Renegade Game Studios""]",1,2016,1,28,,"{""set_name_notes"": ""set name per cardgamecollector.com"", ""release_date_notes"": ""release date per cardgamecollector.com""}"
ba893912-e2cc-4c4e-a5bd-43d09917a3c2,3ce1d5c4-7896-4ae0-95f6-144f1b2f6f56,Kampala Ascendent,android--netrunner_kampala-ascendent,"[""Renegade Game Studios""]",1,2018,5,31,,"{""set_name_notes"": ""set name per cardgamecollector.com"", ""release_date_notes"": ""release date per cardgamecollector.com""}"
90ec952e-7452-4635-a6db-cdb4cc929044,3ce1d5c4-7896-4ae0-95f6-144f1b2f6f56,Mala Tempora,android--netrunner_mala-tempora,"[""Renegade Game Studios""]",1,2013,12,13,,"{""set_name_notes"": ""set name per cardgamecollector.com"", ""release_date_notes"": ""release date per cardgamecollector.com""}"
db8d678f-f27f-46f9-8a67-1d41188f0149,3ce1d5c4-7896-4ae0-95f6-144f1b2f6f56,Martial Law,android--netrunner_martial-law,"[""Renegade Game Studios""]",1,2016,12,1,,"{""set_name_notes"": ""set name per cardgamecollector.com"", ""release_date_notes"": ""release date per cardgamecollector.com""}"
401cd8fb-1003-440a-a499-ec8b2d60354c,3ce1d5c4-7896-4ae0-95f6-144f1b2f6f56,Old Hollywood,android--netrunner_old-hollywood,"[""Renegade Game Studios""]",1,2015,8,6,,"{""set_name_notes"": ""set name per cardgamecollector.com"", ""release_date_notes"": ""release date per cardgamecollector.com""}"
d2c6f237-63f5-4240-b017-5908c1943324,3ce1d5c4-7896-4ae0-95f6-144f1b2f6f56,Opening Moves,android--netrunner_opening-moves,"[""Renegade Game Studios""]",1,2013,9,27,,"{""set_name_notes"": ""set name per cardgamecollector.com"", ""release_date_notes"": ""release date per cardgamecollector.com""}"
3e302147-31c9-48d6-aac6-fbf88b6f6ae7,3ce1d5c4-7896-4ae0-95f6-144f1b2f6f56,Order and Chaos,android--netrunner_order-and-chaos,"[""Renegade Game Studios""]",1,2015,1,28,,"{""set_name_notes"": ""set name per cardgamecollector.com"", ""release_date_notes"": ""release date per cardgamecollector.com""}"
ee55fb70-5d7c-4124-88d2-bfcc09d51e74,3ce1d5c4-7896-4ae0-95f6-144f1b2f6f56,Quorum,android--netrunner_quorum,"[""Renegade Game Studios""]",1,2017,1,1,,"{""set_name_notes"": ""set name per cardgamecollector.com"", ""release_date_notes"": ""release date per cardgamecollector.com""}"
8a80b908-823d-46a7-a526-7c947e863393,3ce1d5c4-7896-4ae0-95f6-144f1b2f6f56,Reign and Reverie,android--netrunner_reign-and-reverie,"[""Renegade Game Studios""]",1,2018,6,28,,"{""set_name_notes"": ""set name per cardgamecollector.com"", ""release_date_notes"": ""release date per cardgamecollector.com""}"
1476d06c-08ca-4427-9eed-cae7411edbf7,3ce1d5c4-7896-4ae0-95f6-144f1b2f6f56,Revised Core Set,android--netrunner_revised-core-set,"[""Renegade Game Studios""]",1,2017,12,14,,"{""set_name_notes"": ""set name per cardgamecollector.com"", ""release_date_notes"": ""release date per cardgamecollector.com""}"
8ec2eacb-7087-4b09-b531-d81390864153,3ce1d5c4-7896-4ae0-95f6-144f1b2f6f56,Salsette Island,android--netrunner_salsette-island,"[""Renegade Game Studios""]",1,2016,4,28,,"{""set_name_notes"": ""set name per cardgamecollector.com"", ""release_date_notes"": ""release date per cardgamecollector.com""}"
1b264cd2-6e6f-4015-8102-895cab5211d7,3ce1d5c4-7896-4ae0-95f6-144f1b2f6f56,Second Thoughts,android--netrunner_second-thoughts,"[""Renegade Game Studios""]",1,2013,11,7,,"{""set_name_notes"": ""set name per cardgamecollector.com"", ""release_date_notes"": ""release date per cardgamecollector.com""}"
8fa441f7-2edf-4b0e-a346-f6c6547277ec,3ce1d5c4-7896-4ae0-95f6-144f1b2f6f56,Sovereign Sight,android--netrunner_sovereign-sight,"[""Renegade Game Studios""]",1,2017,12,28,,"{""set_name_notes"": ""set name per cardgamecollector.com"", ""release_date_notes"": ""release date per cardgamecollector.com""}"
459cc961-db5e-477a-882d-63c8ea393b2b,3ce1d5c4-7896-4ae0-95f6-144f1b2f6f56,Station One,android--netrunner_station-one,"[""Renegade Game Studios""]",1,2017,3,23,,"{""set_name_notes"": ""set name per cardgamecollector.com"", ""release_date_notes"": ""release date per cardgamecollector.com""}"
9613e535-9d94-455d-9777-ea7f90e686d9,3ce1d5c4-7896-4ae0-95f6-144f1b2f6f56,Terminal Directive,android--netrunner_terminal-directive,"[""Renegade Game Studios""]",1,2017,4,27,,"{""set_name_notes"": ""set name per cardgamecollector.com"", ""release_date_notes"": ""release date per cardgamecollector.com""}"
cb28d665-ccff-4419-ac58-e87a8e9b003c,3ce1d5c4-7896-4ae0-95f6-144f1b2f6f56,The Devil and the Dragon,android--netrunner_the-devil-and-the-dragon,"[""Renegade Game Studios""]",1,2018,4,5,,"{""set_name_notes"": ""set name per cardgamecollector.com"", ""release_date_notes"": ""release date per cardgamecollector.com""}"
266f8ad0-260e-4d81-a6ac-0bffa4e0777e,3ce1d5c4-7896-4ae0-95f6-144f1b2f6f56,The Liberated Mind,android--netrunner_the-liberated-mind,"[""Renegade Game Studios""]",1,2016,5,26,,"{""set_name_notes"": ""set name per cardgamecollector.com"", ""release_date_notes"": ""release date per cardgamecollector.com""}"
84f8b2e6-20ad-4c07-b559-1940168fae8a,3ce1d5c4-7896-4ae0-95f6-144f1b2f6f56,The Source,android--netrunner_the-source,"[""Renegade Game Studios""]",1,2014,12,18,,"{""set_name_notes"": ""set name per cardgamecollector.com"", ""release_date_notes"": ""release date per cardgamecollector.com""}"
f09cd830-a82b-421c-aac0-53884d13e271,3ce1d5c4-7896-4ae0-95f6-144f1b2f6f56,The Spaces Between,android--netrunner_the-spaces-between,"[""Renegade Game Studios""]",1,2014,8,14,,"{""set_name_notes"": ""set name per cardgamecollector.com"", ""release_date_notes"": ""release date per cardgamecollector.com""}"
9a02f3e6-4600-477f-91ea-e93e6c243993,3ce1d5c4-7896-4ae0-95f6-144f1b2f6f56,The Underway,android--netrunner_the-underway,"[""Renegade Game Studios""]",1,2015,7,2,,"{""set_name_notes"": ""set name per cardgamecollector.com"", ""release_date_notes"": ""release date per cardgamecollector.com""}"
f9b02d9a-39b0-4318-b1f9-1c5245fb0b98,3ce1d5c4-7896-4ae0-95f6-144f1b2f6f56,The Universe of Tomorrow,android--netrunner_the-universe-of-tomorrow,"[""Renegade Game Studios""]",1,2015,9,3,,"{""set_name_notes"": ""set name per cardgamecollector.com"", ""release_date_notes"": ""release date per cardgamecollector.com""}"
ec2f3981-d4ae-491a-a7e5-304f636bea1f,3ce1d5c4-7896-4ae0-95f6-144f1b2f6f56,The Valley,android--netrunner_the-valley,"[""Renegade Game Studios""]",1,2015,4,3,,"{""set_name_notes"": ""set name per cardgamecollector.com"", ""release_date_notes"": ""release date per cardgamecollector.com""}"
a289def5-7e25-4937-80e9-56ef29f84823,3ce1d5c4-7896-4ae0-95f6-144f1b2f6f56,Trace Amount,android--netrunner_trace-amount,"[""Renegade Game Studios""]",1,2013,1,9,,"{""set_name_notes"": ""set name per cardgamecollector.com"", ""release_date_notes"": ""release date per cardgamecollector.com""}"
fb24f102-cc99-447f-935f-b1292d9498e7,3ce1d5c4-7896-4ae0-95f6-144f1b2f6f56,True Colors,android--netrunner_true-colors,"[""Renegade Game Studios""]",1,2014,1,17,,"{""set_name_notes"": ""set name per cardgamecollector.com"", ""release_date_notes"": ""release date per cardgamecollector.com""}"
4d94431e-ca6d-4a45-afe2-35c8ca3af3a8,3ce1d5c4-7896-4ae0-95f6-144f1b2f6f56,Up and Over,android--netrunner_up-and-over,"[""Renegade Game Studios""]",1,2014,10,16,,"{""set_name_notes"": ""set name per cardgamecollector.com"", ""release_date_notes"": ""release date per cardgamecollector.com""}"
8cd4c227-fa5d-40aa-8e17-789cd71f9bc8,3ce1d5c4-7896-4ae0-95f6-144f1b2f6f56,Upstalk,android--netrunner_upstalk,"[""Renegade Game Studios""]",1,2014,7,24,,"{""set_name_notes"": ""set name per cardgamecollector.com"", ""release_date_notes"": ""release date per cardgamecollector.com""}"
ff0b2286-a431-42ce-bef0-785c029d9ba7,3ce1d5c4-7896-4ae0-95f6-144f1b2f6f56,What Lies Ahead,android--netrunner_what-lies-ahead,"[""Renegade Game Studios""]",1,2012,12,13,,"{""set_name_notes"": ""set name per cardgamecollector.com"", ""release_date_notes"": ""release date per cardgamecollector.com""}"
700bbffd-d8cf-4940-94d6-f4e06c0010e2,3ce1d5c4-7896-4ae0-95f6-144f1b2f6f56,Whispers in Nalubaale,android--netrunner_whispers-in-nalubaale,"[""Renegade Game Studios""]",1,2018,5,3,,"{""set_name_notes"": ""set name per cardgamecollector.com"", ""release_date_notes"": ""release date per cardgamecollector.com""}"
db8401bf-9dd8-40e0-aeb0-d50b5f2f4bb1,285abe24-f651-4917-a315-93938d9781e6,Dragonball Z,ani-mayhem_dragonball-z,"[""Pioneer Entertainment""]",,1997,9,,233,"{""set_name_notes"": ""Scrye Collectible Card Game Checklist & Price Guide 1st Edition"", ""expected_item_count_notes"": ""Scrye Collectible Card Game Checklist & Price Guide 1st Edition"", ""release_date_notes"": ""Scrye Collectible Card Game Checklist & Price Guide 1st Edition""}"
2390b1b9-88b4-438b-8581-68fa9dbbfe93,285abe24-f651-4917-a315-93938d9781e6,Other,ani-mayhem_other,"[""Pioneer Entertainment""]",,,,,32,{}
9cd32adf-07e1-4069-9726-67bed578dcf3,285abe24-f651-4917-a315-93938d9781e6,Set 0,ani-mayhem_set-0,"[""Pioneer Entertainment""]",,1996,7,,303,"{""set_name_notes"": ""Scrye Collectible Card Game Checklist & Price Guide 1st Edition"", ""expected_item_count_notes"": ""Scrye Collectible Card Game Checklist & Price Guide 1st Edition"", ""release_date_notes"": ""Scrye Collectible Card Game Checklist & Price Guide 1st Edition""}"
4f972661-519a-4b33-87a1-a3830abb927a,285abe24-f651-4917-a315-93938d9781e6,Set 1,ani-mayhem_set-1,"[""Pioneer Entertainment""]",,1997,1,,220,"{""set_name_notes"": ""Scrye Collectible Card Game Checklist & Price Guide 1st Edition"", ""expected_item_count_notes"": ""Scrye Collectible Card Game Checklist & Price Guide 1st Edition"", ""release_date_notes"": ""Scrye Collectible Card Game Checklist & Price Guide 1st Edition""}"
13a70528-4470-420c-aa64-e54f067ed574,a6fe8349-32e6-47b8-b655-3011a5524e7a,Preview Edition,anime-madness_preview-edition,[],1,1996,,,,{}
0590b93e-b860-4c31-b681-b19be826559e,06a5ae0e-e088-4f4d-a68e-ff158380a228,King Ironheart's Madness,arcadia--the-wyld-hunt_king-ironheart-s-madness,"[""White Wolf Publishing""]",,1996,12,,404,"{""set_name_notes"": ""Scrye Collectible Card Game Checklist & Price Guide 1st Edition"", ""expected_item_count_notes"": ""Scrye Collectible Card Game Checklist & Price Guide 1st Edition"", ""release_date_notes"": ""Scrye Collectible Card Game Checklist & Price Guide 1st Edition""}"
f401bb93-1105-4d4c-a7f3-963de33b2c72,06a5ae0e-e088-4f4d-a68e-ff158380a228,The Wyld Hunt,arcadia--the-wyld-hunt_the-wyld-hunt,"[""White Wolf Publishing""]",,1996,8,,377,"{""set_name_notes"": ""Scrye Collectible Card Game Checklist & Price Guide 1st Edition"", ""expected_item_count_notes"": ""Scrye Collectible Card Game Checklist & Price Guide 1st Edition"", ""release_date_notes"": ""Scrye Collectible Card Game Checklist & Price Guide 1st Edition""}"
c4e787d9-f614-4d2e-83ba-5eba25dc82c8,c34b294c-698d-4492-8996-94f051668815,Alpha Demo Decks,argent-saga_alpha-demo-decks,[],1,2019,,,,{}
872ae9e7-87a4-4f68-a6d4-d95f7c51d02b,c34b294c-698d-4492-8996-94f051668815,Expansion Pack 1: Generations,argent-saga_expansion-pack-1--generations,[],,,,,,{}
6b7bd76d-0d25-4090-a3d0-103a65d73ec5,c34b294c-698d-4492-8996-94f051668815,Other,argent-saga_other,[],1,,,,,{}
e341ac4c-072f-41a1-9abf-90e3dc815199,94728358-cb3b-4fca-ad51-75f809b6f38d,The Spy Who Shagged Me,austin-powers-collectible-card-game_the-spy-who-shagged-me,"[""Decipher""]",1,1999,12,,140,"{""expected_item_count_notes"": ""Scrye Collectible Card Game Checklist & Price Guide 1st Edition"", ""release_date_notes"": ""Scrye Collectible Card Game Checklist & Price Guide 1st Edition""}"
80fa03a1-c550-4a4e-afb1-9a153eda1089,5dea0077-1ce3-4809-9b73-37d8e0701e3a,Crusade,babylon-5-collectible-card-game_crusade,"[""Precedence""]",,2000,12,,159,{}
7923d8f5-cbb3-444f-afed-8dbbae25b54b,5dea0077-1ce3-4809-9b73-37d8e0701e3a,Deluxe,babylon-5-collectible-card-game_deluxe,"[""Precedence""]",,1998,8,,380,{}
37f7e8f3-1045-4bf3-adb9-33f41e34d687,5dea0077-1ce3-4809-9b73-37d8e0701e3a,Other,babylon-5-collectible-card-game_other,"[""Precedence""]",,,,,66,{}
ea85befd-ed9b-442f-9a8f-3808893ed500,5dea0077-1ce3-4809-9b73-37d8e0701e3a,Premier,babylon-5-collectible-card-game_premier,"[""Precedence""]",,1997,11,,446,"{""set_name_notes"": ""Scrye Collectible Card Game Checklist & Price Guide 1st Edition"", ""expected_item_count_notes"": ""Scrye Collectible Card Game Checklist & Price Guide 1st Edition"", ""release_date_notes"": ""Scrye Collectible Card Game Checklist & Price Guide 1st Edition""}"
8467d3e4-5c58-43f5-a7cc-484e4eba2c90,5dea0077-1ce3-4809-9b73-37d8e0701e3a,Psi-Corps,babylon-5-collectible-card-game_psi-corps,"[""Precedence""]",,1999,8,,196,{}
